Language,Code,Population
English,en,113.20
Mandarin,,111.70
Hindi,hi,602.20
Spanish,es,534.00
French,fr,280.00
Arabic,ar,274.00
Bengali,bn,265.00
Russian,ru,258.00
Portuguese,pt,234.00
Indonesian,id,198.00
Urdu,ur,199.00
Japanese,ja,150.00
German,de,135.00
Punjabi,pa,100.00
Javanese,jv,84.00
Wu Chinese,,80.00
Telugu,te,79.00
Turkish,tr,78.00
Korean,ko,77.00
Marathi,mr,74.00
Nigerian Pindi,,120.70
Marathi,,99.10
Telugu,,95.70
Tamil,,85.60
Yue Chinese,,85.60
Vietnamese,,85.30
Thai,,60.70
Afrikaans,,15.30
Greek,el,13.30
Romanian,ro,24.10
Ukrainian,uk,33.20
Italian,it,67.90
Polish,pl,40.60
Swedish,sv,13.10
Serbian,sr,10.30
Danish,da,5.60
Dutch,nl,24.40
Finnish,fi,5.70
Swiss German,de,6.40
Hungarian,hu,12.60
Croatian,hr,6.80
Hebrew,he,9.40
Czech,cs,13.40
Bulgarian,bg,8.30
Norwegian,no,5.30
North Azerbaijani,az,9.20
Northern Kurdish,,15.70
Northern Uzbek,zu,27.70
Estonian,et,1.10
Georgian,ka,3.70
Latvian,lv,1.75
Lithuanian,lt,3.00
Luxembourgish,lb,0.29
Maltese,mt,0.50
Slovak,sk,5.20
Slovenian,sl,2.50
